"rules" "support" "confidence" "coverage" "lift" "count" "phi" "gini"
"25" "{items=Truffles} => {daypart=Afternoon}" 0.00147913365029054 0.823529411764706 0.00179609086106709 1.53167732017153 14 0.0243209324837721 0.000294075583552322
"20" "{items=Tea,Tea} => {daypart=Afternoon}" 0.00126782884310618 0.8 0.00158478605388273 1.48791511102378 12 0.0209629096595266 0.000218474950046732
"91" "{items=Bread,daypart=Evening} => {day_type=Weekday}" 0.00221870047543582 0.954545454545455 0.002324352879028 1.47026407278645 21 0.0308809070469247 0.000434338999135628
"40" "{items=Soup} => {day_type=Weekday}" 0.00390913893291072 0.948717948717949 0.00412044374009509 1.46128810164612 37 0.0403675823793369 0.000742188482309655
"76" "{items=Soup,daypart=Afternoon} => {day_type=Weekday}" 0.003486529318542 0.942857142857143 0.00369783412572636 1.45226083924212 33 0.0374851334984472 0.000639980665568016
"23" "{items=Soup,Coffee} => {day_type=Weekday}" 0.00147913365029054 0.933333333333333 0.00158478605388273 1.43759153783564 14 0.0237186814293583 0.000256229904109437
"65" "{items=Bread,Cookies,daypart=Afternoon} => {day_type=Weekday}" 0.00147913365029054 0.933333333333333 0.00158478605388273 1.43759153783564 14 0.0237186814293583 0.000256229904109437
"34" "{items=Bread,Cookies} => {day_type=Weekday}" 0.00264131008980454 0.925925925925926 0.00285261489698891 1.42618208118615 25 0.0310119434379795 0.000438032865146862
"52" "{items=Soup,Coffee,daypart=Afternoon} => {day_type=Weekday}" 0.00126782884310618 0.923076923076923 0.00137348124669836 1.42179382862865 12 0.0212814856522711 0.000206277859040635
"7" "{items=Coffee,Coffee,Sandwich} => {day_type=Weekday}" 0.001162176439514 0.916666666666667 0.00126782884310618 1.41192026037429 11 0.0199669094849661 0.000181581010380391
"64" "{items=Bread,Cookies,daypart=Morning} => {day_type=Weekday}" 0.001162176439514 0.916666666666667 0.00126782884310618 1.41192026037429 11 0.0199669094849661 0.000181581010380391
"88" "{items=Bread,Pastry,daypart=Afternoon} => {day_type=Weekday}" 0.001162176439514 0.916666666666667 0.00126782884310618 1.41192026037429 11 0.0199669094849661 0.000181581010380391
"5" "{items=Coffee,Soup} => {day_type=Weekday}" 0.00105652403592182 0.909090909090909 0.001162176439514 1.40025149789186 10 0.0185743408671214 0.000157135948903139
"81" "{items=Coke,daypart=Morning} => {day_type=Weekday}" 0.00105652403592182 0.909090909090909 0.001162176439514 1.40025149789186 10 0.0185743408671214 0.000157135948903139
"28" "{items=Chicken Stew} => {day_type=Weekday}" 0.00169043845747491 0.888888888888889 0.00190174326465927 1.3691347979387 16 0.0219212938755663 0.000218867409895449
"58" "{items=Chicken Stew,daypart=Afternoon} => {day_type=Weekday}" 0.00158478605388273 0.882352941176471 0.00179609086106709 1.3590676303068 15 0.0207215708788959 0.000195566327983107
"67" "{items=Tea,Coffee,daypart=Morning} => {day_type=Weekday}" 0.00158478605388273 0.882352941176471 0.00179609086106709 1.3590676303068 15 0.0207215708788959 0.000195566327983107
"21" "{items=Tea,Tea} => {day_type=Weekday}" 0.00137348124669836 0.866666666666667 0.00158478605388273 1.33490642799024 13 0.0181528621724133 0.000150085573982037
"35" "{items=Tea,Coffee} => {day_type=Weekday}" 0.00274696249339672 0.866666666666667 0.00316957210776545 1.33490642799024 26 0.0256924227898746 0.000300648367595011
"60" "{items=Bread,Sandwich,daypart=Afternoon} => {day_type=Weekday}" 0.00137348124669836 0.866666666666667 0.00158478605388273 1.33490642799024 13 0.0181528621724133 0.000150085573982037
"82" "{items=Coke,daypart=Afternoon} => {day_type=Weekday}" 0.00274696249339672 0.866666666666667 0.00316957210776545 1.33490642799024 26 0.0256924227898746 0.000300648367595011
"42" "{items=Coffee,Toast} => {day_type=Weekday}" 0.0051769677760169 0.859649122807018 0.00602218700475436 1.32409746905914 49 0.0343207140437619 0.000536489664352865
"13" "{items=Cake,Bread} => {day_type=Weekday}" 0.00126782884310618 0.857142857142857 0.00147913365029054 1.32023712658375 12 0.0167682877608683 0.000128063735782266
"17" "{items=Tea,Cookies} => {day_type=Weekday}" 0.00126782884310618 0.857142857142857 0.00147913365029054 1.32023712658375 12 0.0167682877608683 0.000128063735782266
"18" "{items=Toast} => {day_type=Weekday}" 0.00126782884310618 0.857142857142857 0.00147913365029054 1.32023712658375 12 0.0167682877608683 0.000128063735782266
"55" "{items=Truffles,daypart=Afternoon} => {day_type=Weekday}" 0.00126782884310618 0.857142857142857 0.00147913365029054 1.32023712658375 12 0.0167682877608683 0.000128063735782266
"63" "{items=Coffee,Hot chocolate,daypart=Afternoon} => {day_type=Weekday}" 0.00126782884310618 0.857142857142857 0.00147913365029054 1.32023712658375 12 0.0167682877608683 0.000128063735782266
"70" "{items=Tea,Cake,daypart=Afternoon} => {day_type=Weekday}" 0.00190174326465927 0.857142857142857 0.00221870047543582 1.32023712658375 18 0.0205444841095339 0.000192237987115249
"32" "{items=Cake,Coffee} => {day_type=Weekday}" 0.00179609086106709 0.85 0.00211304807184363 1.30923515052889 17 0.019359528346462 0.000170701868483489
"12" "{items=Tea,Toast} => {day_type=Weekday}" 0.001162176439514 0.846153846153846 0.00137348124669836 1.30331100957627 11 0.0153034692789592 0.000106666617169557
"47" "{items=Bread,Toast,daypart=Morning} => {day_type=Weekday}" 0.001162176439514 0.846153846153846 0.00137348124669836 1.30331100957627 11 0.0153034692789592 0.000106666617169557
